                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
0C191F	Inform Electronik
0C1A10	Acoustic Stream
0C1DAF	Xiaomi Communications Co Ltd
0C1DC2	SeAH Networks
0C2026	noax Technologies AG
0C2576	LONGCHEER TELECOMMUNICATION LIMITED
0C2724	Cisco Systems, Inc
0C2755	Valuable Techologies Limited
0C2A69	electric imp, incorporated
0C2AE7	Beijing General Research Institute of Mining and Metallurgy
0C2D89	QiiQ Communications Inc.
0C3021	Apple, Inc.
0C37DC	HUAWEI TECHNOLOGIES CO.,LTD
0C383E	Fanvil Technology Co., Ltd.
0C3956	Observator instruments
0C3C65	Dome Imaging Inc
0C3CCD	Universal Global Scientific Industrial Co., Ltd.
0C3E9F	Apple, Inc.
0C413E	Microsoft Corporation
0C45BA	HUAWEI TECHNOLOGIES CO.,LTD
0C469D	MS Sedco
0C473D	Hitron Technologies. Inc
0C47C9	Amazon Technologies Inc.
0C4885	LG Electronics (Mobile Communications)
0C4933	Sichuan Jiuzhou Electronic Technology Co., Ltd.
0C4C39	MitraStar Technology Corp.
0C4DE9	Apple, Inc.
0C4F5A	ASA-RT s.r.l.
0C5101	Apple, Inc.
0C51F7	CHAUVIN ARNOUX
0C54A5	PEGATRON CORPORATION
0C54B9	Nokia
0C5521	Axiros GmbH
0C565C	HyBroad Vision (Hong Kong) Technology Co Ltd
0C57EB	Mueller Systems
0C5A19	Axtion Sdn Bhd
0C5A9E	Wi-SUN Alliance
0C5CD8	DOLI Elektronik GmbH
0C5F35	Niagara Video Corporation
0C6076	Hon Hai Precision Ind. Co.,Ltd.
0C6127	Actiontec Electronics, Inc
0C61CF	Texas Instruments
0C63FC	Nanjing Signway Technology Co., Ltd
0C6803	Cisco Systems, Inc
0C6AE6	Stanley Security Solutions
0C6E4F	PrimeVOLT Co., Ltd.
0C6F9C	Shaw Communications Inc.
0C715D	Samsung Electronics Co.,Ltd
0C722C	TP-LINK TECHNOLOGIES CO.,LTD.
0C73BE	Dongguan Haimai Electronie Technology Co.,Ltd
0C74C2	Apple, Inc.
0C7523	BEIJING GEHUA CATV NETWORK CO.,LTD
0C756C	Anaren Microwave, Inc.
0C75BD	Cisco Systems, Inc
0C771A	Apple, Inc.
0C7D7C	Kexiang Information Technology Co, Ltd.
0C8112	Private
0C8230	SHENZHEN MAGNUS TECHNOLOGIES CO.,LTD
0C8268	TP-LINK TECHNOLOGIES CO.,LTD.
0C826A	Wuhan Huagong Genuine Optics Technology Co., Ltd
0C8411	A.O. Smith Water Products
0C8484	Zenovia Electronics Inc.
0C84DC	Hon Hai Precision Ind. Co.,Ltd.
0C8525	Cisco Systems, Inc
0C8610	Juniper Networks
0C8910	Samsung Electronics Co.,Ltd
0C8A87	AgLogica Holdings, Inc
0C8BFD	Intel Corporate
0C8C8F	Kamo Technology Limited
0C8CDC	Suunto Oy
0C8D98	TOP EIGHT IND CORP
0C8DDB	Cisco Meraki
0C9160	Hui Zhou Gaoshengda Technology Co.,LTD
0C924E	Rice Lake Weighing Systems
0C9301	PT. Prasimax Inovasi Teknologi
0C93FB	BNS Solutions
0C96BF	HUAWEI TECHNOLOGIES CO.,LTD
0C9B13	Shanghai Magic Mobile Telecommunication Co.Ltd.
0C9D56	Consort Controls Ltd
0C9E91	Sankosha Corporation
0CA138	Blinq Wireless Inc.
0CA2F4	Chameleon Technology (UK) Limited
0CA402	Alcatel-               # Alcatel-Lucent IPD
0CA42A	OB Telecom Electronic Technology Co., Ltd
0CA694	Sunitec Enterprise Co.,Ltd
0CAC05	Unitend Technologies Inc.
0CAF5A	GENUS POWER INFRASTRUCTURES LIMITED
0CB319	Samsung Electronics Co.,Ltd
0CB4EF	Digience Co.,Ltd.
0CB5DE	Alcatel Lucent
0CB912	JM-DATA GmbH
0CBC9F	Apple, Inc.
0CBD51	TCT mobile ltd
0CBF15	Genetec Inc.
0CBF3F	Shenzhen Lencotion Technology Co.,Ltd
0CC0C0	MAGNETI MARELLI SISTEMAS ELECTRONICOS MEXICO
0CC3A7	Meritec
0CC47A	Super Micro Computer, Inc.
0CC47E	EUCAST Co., Ltd.
0CC655	Wuxi YSTen Technology Co.,Ltd.
0CC66A	Nokia Corporation
0CC6AC	Dags
0CC731	Currant, Inc.
0CC81F	Summer Infant, Inc.
0CC9C6	Samwin Hong Kong Limited
0CCB8D	ASCO Numatics GmbH
0CCC26	Airenetworks
0CCDD3	EASTRIVER TECHNOLOGY CO., LTD.
0CCDFB	EDIC Systems Inc.
0CCFD1	SPRINGWAVE Co., Ltd
0CD292	Intel Corporate
0CD2B5	Binatone Telecommunication Pvt. Ltd
0CD502	Westell Technologies Inc.
0CD696	Amimon Ltd
0CD6BD	HUAWEI TECHNOLOGIES CO.,LTD
0CD746	Apple, Inc.
0CD7C2	Axium Technologies, Inc.
0CD86C	SHENZHEN FAST TECHNOLOGIES CO.,LTD
0CD996	Cisco Systems, Inc
0CD9C1	Visteon Corporation
0CDA41	Hangzhou H3C Technologies Co., Limited
0CDCCC	Inala Technologies
0CDDEF	Nokia Corporation
0CDFA4	Samsung Electronics Co.,Ltd
0CE0E4	PLANTRONICS, INC.
0CE5D3	DH electronics GmbH
0CE709	Fox Crypto B.V.
0CE725	Microsoft Corporation
0CE82F	Bonfiglioli Vectron GmbH
0CE936	ELIMOS srl
0CEEE6	Hon Hai Precision Ind. Co.,Ltd.
0CEF7C	AnaCom Inc
0CEFAF	IEEE Registration Authority
0CF019	Malgn Technology Co., Ltd.
0CF0B4	Globalsat International Technology Ltd
0CF361	Java Information
0CF3EE	EM Microelectronic
0CF405	Beijing Signalway Technologies Co.,Ltd
0CF4D5	Ruckus Wireless
0CF5A4	Cisco Systems, Inc
0CF893	ARRIS Group, Inc.
0CF9C0	BSkyB Ltd
0CFC83	Airoha Technology Corp.,
0CFD37	SUSE Linux GmbH
0CFE45	Sony Interactive Entertainment Inc.
100000	Private
10005A	Ibm
100090	HP
1000D4	DEC
1000E0	Apple A/UX			(modified addresses for licensing)
1000E8	NATIONAL SEMICONDUCTOR
1000FD	LaonPeople
1001CA	Ashley Butterworth
1002B5	Intel Corporate
100501	PEGATRON CORPORATION
1005B1	ARRIS Group, Inc.
1005CA	Cisco Systems, Inc
100723	IEEE Registration Authority
1008B1	Hon Hai Precision Ind. Co.,Ltd.
10090C	Janome Sewing Machine Co., Ltd.
100BA9	Intel Corporate
100C24	pomdevices, LLC
100D2F	Online Security Pty. Ltd.
100D32	Embedian, Inc.
100D7F	Netgear
100E2B	NEC CASIO Mobile Communications
100E7E	Juniper Networks
100F18	Fu Gang Electronic(KunShan)CO.,LTD
1010B6	McCain Inc
101212	Vivo International Corporation Pty Ltd
101218	Korins Inc.
101248	ITG, Inc.
101250	Integrated Device Technology (Malaysia) Sdn. Bhd.
101331	Technicolor
1013EE	Justec International Technology INC.
10189E	Elmo Motion Control
101B54	HUAWEI TECHNOLOGIES CO.,LTD
101C0C	Apple, Inc.
101D51	ON-Q LLC dba ON-Q Mesh Networks
101DC0	Samsung Electronics Co.,Ltd
101F74	Hewlett Packard
102279	ZeroDesktop, Inc.
1027BE	Tvip
102831	Morion Inc.
102AB3	Xiaomi Communications Co Ltd
102C83	Ximea
102D96	Looxcie Inc.
102EAF	Texas Instruments
102F6B	Microsoft Corporation
103047	Samsung Electronics Co.,Ltd
103378	FLECTRON Co., LTD
103711	Simlink AS
103B59	Samsung Electronics Co.,Ltd
103DEA	HFC Technology (Beijing) Ltd. Co.
1040F3	Apple, Inc.
10417F	Apple, Inc.
104369	Soundmax Electronic Limited
10445A	Shaanxi Hitech Electronic Co., LTD
1045BE	Norphonic AS
1045F8	LNT-Automation GmbH
104780	HUAWEI TECHNOLOGIES CO.,LTD
1048B1	Beijing Duokan Technology Limited
104A7D	Intel Corporate
104B46	Mitsubishi Electric Corporation
104D77	Innovative Computer Engineering
104E07	Shanghai Genvision Industries Co.,Ltd
104FA8	Sony Corporation
105172	HUAWEI TECHNOLOGIES CO.,LTD
105611	ARRIS Group, Inc.
1056CA	Peplink International Ltd.
105887	Fiberhome Telecommunication Technologies Co.,LTD
105AF7	ADB Italia
105C3B	Perma-Pipe, Inc.
105CBF	DuroByte Inc
105F06	Actiontec Electronics, Inc
105F49	Cisco SPVTG
10604B	Hewlett Packard
1062C9	Adatis GmbH & Co. KG
1062EB	D-Link International
1064E2	ADFweb.com s.r.l.
1065A3	Core Brands LLC
1065CF	Iqsim
106682	NEC Platforms, Ltd.
10683F	LG Electronics (Mobile Communications)
106F3F	BUFFALO.INC
106FEF	Ad-Sol Nissin Corp
1071F9	Cloud Telecomputers, LLC
107223	TELLESCOM INDUSTRIA E COMERCIO EM TELECOMUNICACAO
10768A	Eocell
1077B0	Fiberhome Telecommunication Technologies Co.,LTD
1077B1	Samsung Electronics Co.,Ltd
10785B	Actiontec Electronics, Inc
107873	Shenzhen Jinkeyi Communication Co., Ltd.
1078CE	Hanvit SI, Inc.
1078D2	Elitegroup Computer Systems Co.,Ltd.
107A86	U&U ENGINEERING INC.
107BEF	ZyXEL Communications Corporation
107D1A	Dell Inc.
1083D2	Microseven Systems, LLC
10868C	ARRIS Group, Inc.
10880F	Daruma Telecomunicações e Informática S.A.
1088CE	Fiberhome Telecommunication Technologies Co.,LTD
108A1B	RAONIX Inc.
108CCF	Cisco Systems, Inc
109266	Samsung Electronics Co.,Ltd
1093E9	Apple, Inc.
10954B	Megabyte Ltd.
109836	Dell Inc.
109AB9	Tosibox Oy
109ADD	Apple, Inc.
109FA9	Actiontec Electronics, Inc
10A13B	FUJIKURA RUBBER LTD.
10A5D0	Murata Manufacturing Co., Ltd.
10A659	Mobile Create Co.,Ltd.
10A743	SK Mtek Limited
10A932	Beijing Cyber Cloud Technology Co. ,Ltd.
10AE60	Private
10AF78	Shenzhen ATUE Technology Co., Ltd
10B1F8	HUAWEI TECHNOLOGIES CO.,LTD
10B26B	base Co.,Ltd.
10B713	Private
10B7F6	Plastoform Industries Ltd.
10B9FE	Lika srl
10BAA5	GANA I&C CO., LTD
10BD18	Cisco Systems, Inc
10BD55	Q-Lab Corporation
10BEF5	D-Link International
10BF48	ASUSTek COMPUTER INC.
10C07C	Blu-ray Disc Association
10C2BA	UTT Co., Ltd.
10C37B	ASUSTek COMPUTER INC.
10C586	BIO SOUND LAB CO., LTD.
10C60C	Domino UK Ltd
10C61F	HUAWEI TECHNOLOGIES CO.,LTD
10C67E	SHENZHEN JUCHIN TECHNOLOGY CO., LTD
10C6FC	Garmin International
10C73F	Midas Klark Teknik Ltd
10CA81	Precia
10CC1B	Liverock technologies,INC
10CCDB	AXIMUM PRODUITS ELECTRONIQUES
10CDAE	Avaya Inc
10D07A	AMPAK Technology, Inc.
10D0AB	zte corporation
10D1DC	INSTAR Deutschland GmbH
10D38A	Samsung Electronics Co.,Ltd
10D542	Samsung Electronics Co.,Ltd
10DA43	Netgear
10DDB1	Apple, Inc.
10DDF4	Maxway Electronics CO.,LTD
10DEE4	automationNEXT GmbH
10DF8B	Shenzhen CareDear Communication Technology Co.,Ltd
10E2D5	Qi Hardware Inc.
10E3C7	Seohwa Telecom
10E4AF	APR, LLC
10E68F	KWANGSUNG ELECTRONICS KOREA CO.,LTD.
10E6AE	Source Technologies, LLC
10E878	Nokia
10E8EE	PhaseSpace
10EA59	Cisco SPVTG
10EED9	Canoga Perkins Corporation
10F005	Intel Corporate
10F311	Cisco Systems, Inc
10F3DB	Gridco Systems, Inc.
10F49A	T3 Innovation
10F681	vivo Mobile Communication Co., Ltd.
10F96F	LG Electronics (Mobile Communications)
10F9EE	Nokia Corporation
10FACE	Reacheng Communication Technology Co.,Ltd
10FBF0	KangSheng LTD.
10FC54	Shany Electronic Co., Ltd.
10FEED	TP-LINK TECHNOLOGIES CO.,LTD.
1100AA	Private
111111	Private
1402EC	Hewlett Packard Enterprise
140467	SNK Technologies Co.,Ltd.
140708	Private
1407E0	Abrantix AG
140C5B	PLNetworks
140C76	FREEBOX SAS
140D4F	Flextronics International
14109F	Apple, Inc.
141330	Anakreon UK LLP
141357	ATP Electronics, Inc.
14144B	FUJIAN STAR-NET COMMUNICATION CO.,LTD
1414E6	Ningbo Sanhe Digital Co.,Ltd
14157C	TOKYO COSMOS ELECTRIC CO.,LTD.
141877	Dell Inc.
141A51	Treetech Sistemas Digitais
141AA3	Motorola Mobility LLC, a Lenovo Company
141BBD	Volex Inc.
141BF0	Intellimedia Systems Ltd
141F78	Samsung Electronics Co.,Ltd
141FBA	IEEE Registration Authority
1422DB	eero inc.
1423D7	EUTRONIX CO., LTD.
142971	NEMOA ELECTRONICS (HK) CO. LTD
142BD2	Armtel Ltd.
142BD6	Guangdong Appscomm Co.,Ltd
142D27	Hon Hai Precision Ind. Co.,Ltd.
142D8B	Incipio Technologies, Inc
142DF5	Amphitech
142FFD	LT SECURITY INC
143004	HUAWEI TECHNOLOGIES CO.,LTD
14307A	Avermetrics
1430C6	Motorola Mobility LLC, a Lenovo Company
1432D1	Samsung Electronics Co.,Ltd
143365	TEM Mobile Limited
14358B	Mediabridge Products, LLC.
1435B3	Future Designs, Inc.
143605	Nokia Corporation
1436C6	Lenovo Mobile Communication Technology Ltd.
14373B	PROCOM Systems
143AEA	Dynapower Company LLC
143DF2	Beijing Shidai Hongyuan Network Communication Co.,Ltd
143E60	Nokia
143EBF	zte corporation
143F27	Noccela Oy
144146	Honeywell (China) Co., LTD
1441E2	Monaco Enterprises, Inc.
144319	Creative&Link Technology Limited
1446E4	Avistel
14488B	Shenzhen Doov Technology Co.,Ltd
144978	Digital Control Incorporated
1449E0	SAMSUNG ELECTRO-MECHANICS(THAILAND)
144C1A	Max Communication GmbH
144D67	Zioncom Electronics (Shenzhen) Ltd.
144FD7	IEEE Registration Authority
145412	Entis Co., Ltd.
145645	Savitech Corp.
14568E	Samsung Electronics Co.,Ltd
1458D0	Hewlett Packard
145A05	Apple, Inc.
145A83	Logi-D inc
145BD1	ARRIS Group, Inc.
145F94	HUAWEI TECHNOLOGIES CO.,LTD
146080	zte corporation
146102	Alpine Electronics, Inc.
14612F	Avaya Inc
146308	JABIL CIRCUIT (SHANGHAI) LTD.
146A0B	Cypress Electronics Limited
146B72	Shenzhen Fortune Ship Technology Co., Ltd.
146E0A	Private
147373	TUBITAK UEKAE
147411	Rim
147590	TP-LINK TECHNOLOGIES CO.,LTD.
147DB3	JOA TELECOM.CO.,LTD
147DC5	Murata Manufacturing Co., Ltd.
14825B	Hefei Radio Communication Technology Co., Ltd
148692	TP-LINK TECHNOLOGIES CO.,LTD.
14893E	VIXTEL TECHNOLOGIES LIMTED
148951	LCFC(HeFei) Electronics Technology co., ltd
1489FD	Samsung Electronics Co.,Ltd
148A70	ADS GmbH
148F21	Garmin International
148FC6	Apple, Inc.
149090	KongTop industrial(shen zhen)CO.,LTD
149182	Belkin International Inc.
149448	BLU CASTLE S.A.
14987D	Technicolor CH USA Inc.
1499E2	Apple, Inc.
149A10	Microsoft Corporation
149D09	HUAWEI TECHNOLOGIES CO.,LTD
149ECF	Dell Inc.
149FE8	Lenovo Mobile Communication Technology Ltd.
14A0F8	HUAWEI TECHNOLOGIES CO.,LTD
14A364	Samsung Electronics Co.,Ltd
14A51A	HUAWEI TECHNOLOGIES CO.,LTD
14A62C	S.M. Dezac S.A.
14A78B	Zhejiang Dahua Technology Co., Ltd.
14A86B	ShenZhen Telacom Science&Technology Co., Ltd
14A9E3	MST CORPORATION
14ABC5	Intel Corporate
14ABF0	ARRIS Group, Inc.
14AEDB	VTech Telecommunications Ltd.
14B126	Industrial Software Co
14B1C8	InfiniWing, Inc.
14B31F	Dell Inc.
14B370	Gigaset Digital Technology (Shenzhen) Co., Ltd.
14B484	Samsung Electronics Co.,Ltd
14B73D	ARCHEAN Technologies
14B7F8	Technicolor CH USA Inc.
14B837	Shenzhen YOUHUA Technology Co., Ltd
14B968	HUAWEI TECHNOLOGIES CO.,LTD
14BB6E	Samsung Electronics Co.,Ltd
14BD61	Apple, Inc.
14C089	DUNE HD LTD
14C126	Nokia Corporation
14C1FF	ShenZhen QianHai Comlan communication Co.,LTD
14C21D	Sabtech Industries
14C3C2	K.A. Schmersal GmbH & Co. KG
14C913	LG Electronics
14CC20	TP-LINK TECHNOLOGIES CO.,LTD.
14CF8D	OHSUNG ELECTRONICS CO., LTD.
14CF92	TP-LINK TECHNOLOGIES CO.,LTD.
14CFE2	ARRIS Group, Inc.
14D11F	HUAWEI TECHNOLOGIES CO.,LTD
14D4FE	ARRIS Group, Inc.
14D64D	D-Link International
14D76E	CONCH ELECTRONIC Co.,Ltd
14DAE9	ASUSTek COMPUTER INC.
14DB85	S NET MEDIA
14DDA9	ASUSTek COMPUTER INC.
14DDE5	Mpmkvvcl
14E4EC	mLogic LLC
14E6E4	TP-LINK TECHNOLOGIES CO.,LTD.
14E7C8	Integrated Device Technology (Malaysia) Sdn. Bhd.
14EB33	BSMediasoft Co., Ltd.
14EDA5	Wächter GmbH Sicherheitssysteme
14EDBB	2Wire Inc
14EDE4	Kaiam Corporation
14EE9D	AirNav Systems LLC
14F0C5	Xtremio Ltd.
14F28E	ShenYang ZhongKe-Allwin Technology Co.LTD
14F42A	Samsung Electronics Co.,Ltd
14F65A	Xiaomi Communications Co Ltd
14F893	Wuhan FiberHome Digital Technology Co.,Ltd.
14FEAF	SAGITTAR LIMITED
14FEB5	Dell Inc.
18002D	Sony Mobile Communications AB
1800DB	Fitbit Inc.
18017D	Harbin Arteor technology co., LTD
1801E3	Bittium Wireless Ltd
180373	Dell Inc.
1803FA	IBT Interfaces
180675	Dilax Intelcom GmbH
180B52	Nanotron Technologies GmbH
180C14	iSonea Limited
180C77	Westinghouse Electric Company, LLC
180CAC	CANON INC.
18104E	CEDINT-UPM
181212	Cepton Technologies
181420	TEB SAS
181456	Nokia Corporation
1816C9	Samsung Electronics Co.,Ltd
181714	Daewoois
181725	Cameo Communications, Inc.
18193F	Tamtron Oy
181BEB	Actiontec Electronics, Inc
181E78	Sagemcom Broadband SAS
181EB0	Samsung Electronics Co.,Ltd
182012	Aztech Associates Inc.
182032	Apple, Inc.
1820A6	Sage Co., Ltd.
182195	Samsung Electronics Co.,Ltd
18227E	Samsung Electronics Co.,Ltd
182666	Samsung Electronics Co.,Ltd
182861	AirTies Wireless Networks
182A7B	Nintendo Co., Ltd.
182B05	8D Technologies
182C91	Concept Development, Inc.
183009	Woojin Industrial Systems Co., Ltd.
1832A2	LAON TECHNOLOGY CO., LTD.
18339D	Cisco Systems, Inc
183451	Apple, Inc.
1836FC	Elecsys International Corporation
183825	Wuhan Lingjiu High-tech Co.,Ltd.
183864	CAP-TECH INTERNATIONAL CO., LTD.
183919	Unicoi Systems
183A2D	Samsung Electronics Co.,Ltd
183BD2	BYD Precision Manufacture Company Ltd.
183DA2	Intel Corporate
183F47	Samsung Electronics Co.,Ltd
1840A4	Shenzhen Trylong Smart Science and Technology Co., Ltd.
18421D	Private
18422F	Alcatel Lucent
184462	Riava Networks, Inc.
1844E6	zte corporation
184617	Samsung Electronics Co.,Ltd
1848D8	Fastback Networks
184A6F	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
184E94	MESSOA TECHNOLOGIES INC.
184F32	Hon Hai Precision Ind. Co.,Ltd.
185207	SICHUAN TIANYI COMHEART TELECOMCO., LTD
185253	Pixord Corporation
1853E0	Hanyang Digitech Co.Ltd
18550F	Cisco SPVTG
185933	Cisco SPVTG
185936	Xiaomi Communications Co Ltd
185AE8	Zenotech.Co.,Ltd
185D9A	BobjGear LLC
185E0F	Intel Corporate
1861C7	lemonbeat GmbH
18622C	Sagemcom Broadband SAS
186472	Aruba Networks
186571	Top Victory Electronics (Taiwan) Co., Ltd.
186590	Apple, Inc.
1866DA	Dell Inc.
1866E3	Veros Systems, Inc.
18673F	Hanover Displays Limited
186751	KOMEG Industrielle Messtechnik GmbH
1867B0	Samsung Electronics Co.,Ltd
18686A	zte corporation
186882	BewardR&               # Beward R&D Co., Ltd.
1868CB	Hangzhou Hikvision Digital Technology Co.,Ltd.
186D99	Adanis Inc.
187117	eta plus electronic gmbh
187532	SICHUAN TIANYI COMHEART TELECOMCO., LTD
1879A2	GMJ ELECTRIC LIMITED
187A93	AMICCOM Electronics Corporation
187C81	Valeo Vision Systems
187ED5	shenzhen kaism technology Co. Ltd
1880CE	Barberry Solutions Ltd
1880F5	Alcatel-               # Alcatel-Lucent Shanghai Bell Co., Ltd
188219	Alibaba Cloud Computing Ltd.
188331	Samsung Electronics Co.,Ltd
1883BF	Arcadyan Technology Corporation
188410	CoreTrust Inc.
18863A	DIGITAL ART SYSTEM
1886AC	Nokia Danmark A/S
188796	HTC Corporation
188857	Beijing Jinhong Xi-Dian Information Technology Corp.
18895B	Samsung Electronics Co.,Ltd
1889DF	CerebrEX Inc.
188B15	ShenZhen ZhongRuiJing Technology co.,LTD
188B45	Cisco Systems, Inc
188B9D	Cisco Systems, Inc
188ED5	TP Vision Belgium N.V. - innovation site Brugge
188EF9	G2C Co. Ltd.
18922C	Virtual Instruments
1893D7	Texas Instruments
1897FF	TechFaith Wireless Technology Limited
1899F5	Sichuan Changhong Electric Ltd.
189A67	CSE-Servelec Limited
189C5D	Cisco Systems, Inc
189EFC	Apple, Inc.
18A3E8	Fiberhome Telecommunication Technologies Co.,LTD
18A6F7	TP-LINK TECHNOLOGIES CO.,LTD.
18A905	Hewlett Packard
18A958	PROVISION THAI CO., LTD.
18A99B	Dell Inc.
18AA45	Fon Technology
18ABF5	Ultra Electronics Electrics
18AD4D	Polostar Technology Corporation
18AEBB	Siemens Convergence Creators GmbH&Co.KG
18AF61	Apple, Inc.
18AF8F	Apple, Inc.
18AF9F	DIGITRONIC Automationsanlagen GmbH
18B169	Sonicwall
18B209	Torrey Pines Logic, Inc
18B3BA	Netlogic AB
18B430	Nest Labs Inc.
18B591	I-Storm
18B79E	Invoxia
18BDAD	L-TECH CORPORATION
18C086	Broadcom
18C451	Tucson Embedded Systems
18C501	SHENZHEN GONGJIN ELECTRONICS CO.,LT
18C58A	HUAWEI TECHNOLOGIES CO.,LTD
18C8E7	Shenzhen Hualistone Technology Co.,Ltd
18CC23	Philio Technology Corporation
18CF5E	Liteon Technology Corporation
18D071	DASAN CO., LTD.
18D276	HUAWEI TECHNOLOGIES CO.,LTD
18D5B6	SMG Holdings LLC
18D66A	Inmarsat
18D6C7	TP-LINK TECHNOLOGIES CO.,LTD.
18D6CF	Kurth Electronic GmbH
18D949	Qvis Labs, LLC
18DBF2	Dell Inc.
18DC56	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
18DED7	HUAWEI TECHNOLOGIES CO.,LTD
18E288	STT Condigi
18E29F	vivo Mobile Communication Co., Ltd.
18E2C2	Samsung Electronics Co.,Ltd
18E3BC	TCT mobile ltd
18E728	Cisco Systems, Inc
18E7F4	Apple, Inc.
18E80F	Viking Electronics Inc.
18E8DD	MODULETEK
18EE69	Apple, Inc.
18EF63	Cisco Systems, Inc
18F145	NetComm Wireless Limited
18F292	Shannon Systems
18F46A	Hon Hai Precision Ind. Co.,Ltd.
18F643	Apple, Inc.
18F650	Multimedia Pacific Limited
18F76B	Zhejiang Winsight Technology CO.,LTD
18F87A	i3 International Inc.
18FA6F	ISC applied systems corp
18FB7B	Dell Inc.
18FC9F	Changhe Electronics Co., Ltd.
18FE34	Espressif Inc.
18FF0F	Intel Corporate
18FF2E	Shenzhen Rui Ying Da Technology Co., Ltd
1C0656	IDY Corporation
1C08C1	Lg Innotek
1C0B52	EPICOM S.A
1C0FCF	Sypro Optics GmbH
1C11E1	Wartsila Finland Oy
1C129D	IEEE PES PSRC/SUB
1C1448	ARRIS Group, Inc.
1C14B3	Airwire Technologies
1C17D3	Cisco Systems, Inc
1C184A	ShenZhen RicherLink Technologies Co.,LTD
1C19DE	eyevis GmbH
1C1AC0	Apple, Inc.
1C1B0D	GIGA-BYTE TECHNOLOGY CO.,LTD.
1C1B68	ARRIS Group, Inc.
1C1CFD	Dalian Hi-Think Computer Technology, Corp
1C1D67	HUAWEI TECHNOLOGIES CO.,LTD
1C1D86	Cisco Systems, Inc
1C1EE3	Hui Zhou Gaoshengda Technology Co.,LTD
1C21D1	IEEE Registration Authority
1C232C	Samsung Electronics Co.,Ltd
1C234F	EDMI  Europe Ltd
1C25E1	China Mobile IOT Company Limited
1C330E	PernixData
1C334D	ITS Telecom
1C3477	Innovation Wireless
1C35F1	NEW Lift Neue Elektronische Wege Steuerungsbau GmbH
1C37BF	Cloudium Systems Ltd.
1C3947	COMPAL INFORMATION (KUNSHAN) CO., LTD.
1C398A	Fiberhome Telecommunication Technologies Co.,LTD
1C3A4F	AccuSpec Electronics, LLC
1C3ADE	Samsung Electronics Co.,Ltd
1C3DE7	Sigma Koki Co.,Ltd.
1C3E84	Hon Hai Precision Ind. Co.,Ltd.
1C4024	Dell Inc.
1C40E8	SHENZHEN PROGRESS&WIN TECHNOLOGY CO.,LTD
1C4158	Gemalto M2M GmbH
1C43EC	JAPAN CIRCUIT CO.,LTD
1C4419	TP-LINK TECHNOLOGIES CO.,LTD.
1C4593	Texas Instruments
1C4840	IMS Messsysteme GmbH
1C48CE	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
1C48F9	GN Netcom A/S
1C497B	Gemtek Technology Co., Ltd.
1C4AF7	AMON INC
1C4BB9	SMG ENTERPRISE, LLC
1C4BD6	AzureWave Technology Inc.
1C51B5	Techaya LTD
1C5216	DONGGUAN HELE ELECTRONICS CO., LTD
1C52D6	FLAT DISPLAY TECHNOLOGY CORPORATION
1C553A	QianGua Corp.
1C56FE	Motorola Mobility LLC, a Lenovo Company
1C57D8	Kraftway Corporation PLC
1C5A0B	Tegile Systems
1C5A3E	Samsung Electronics Co.,Ltd
1C5A6B	Philips Electronics Nederland BV
1C5C55	PRIMA Cinema, Inc
1C5C60	Shenzhen Belzon Technology Co.,LTD.
1C5CF2	Apple, Inc.
1C5F2B	D-Link International
1C5FFF	Beijing Ereneben Information Technology Co.,Ltd Shenzhen Branch
1C60DE	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
1C62B8	Samsung Electronics Co.,Ltd
1C63B7	OpenProducts 237 AB
1C659D	Liteon Technology Corporation
1C666D	Hon Hai Precision Ind. Co.,Ltd.
1C66AA	Samsung Electronics Co.,Ltd
1C6758	HUAWEI TECHNOLOGIES CO.,LTD
1C69A5	BlackBerry RTS
1C6A7A	Cisco Systems, Inc
1C6BCA	Mitsunami Co., Ltd.
1C6E4C	Logistic Service & Engineering Co.,Ltd
1C6E76	Quarion Technology Inc
1C6F65	GIGA-BYTE TECHNOLOGY CO.,LTD.
1C7370	Neotech
1C740D	ZyXEL Communications Corporation
1C7508	COMPAL INFORMATION (KUNSHAN) CO., LTD.
1C76CA	Terasic Technologies Inc.
1C77F6	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
1C7839	Shenzhen Tencent Computer System Co., Ltd.
1C7B21	Sony Mobile Communications AB
1C7B23	Qingdao Hisense Communications Co.,Ltd.
1C7C11	Eid
1C7C45	Vitek Industrial Video Products, Inc.
1C7CC7	Coriant GmbH
1C7D22	Fuji Xerox Co., Ltd.
1C7E51	3bumen.com
1C7EE5	D-Link International
1C8341	Hefei Bitland Information Technology Co.Ltd
1C83B0	Linked IP GmbH
1C8464	FORMOSA WIRELESS COMMUNICATION CORP.
1C86AD	MCT CO., LTD.
